,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI,RSI
,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE
time,,,,,,,,,,
2020-05-21 00:00:00-04:00,57.919123841617555,49.05346138899683,69.0214195716085,63.30561011539411,65.3528872593951,54.27015991833958,65.52644347404176,55.10498592972077,71.86718800076918,56.03313298651445
2020-05-22 00:00:00-04:00,65.04242848394722,56.055319418892346,69.63243873978993,61.993388219587416,66.3935189496229,55.599603567889,70.23303066861392,53.560232870577714,66.83168316831683,55.16353335050216
2020-05-26 00:00:00-04:00,64.10026053364486,65.77819810082606,70.43453564328314,62.716912323355125,59.44700460829497,55.111591072714184,68.86911481506078,48.796680497925315,67.33983286908075,49.80539754501517
2020-05-27 00:00:00-04:00,61.469482210008735,67.44193430598996,69.1070231622849,61.68285598275916,63.44786729857821,57.04697986577181,71.85577942735955,49.22103213242455,65.16861435726207,52.28070175438596
2020-05-28 00:00:00-04:00,61.26405583559525,61.07512755491737,65.60842819769495,59.25470789464943,61.96307280206643,53.9568345323741,76.11161116111617,45.16298633017875,61.582087353612685,52.39206534422404
2020-05-29 00:00:00-04:00,61.92835365853664,59.99281809839205,62.19199378157792,53.94196417174378,61.319906491638235,49.48459750938449,75.1394916305022,45.68954030646235,60.580411124546536,56.25967837998808
2020-06-01 00:00:00-04:00,62.07289293849665,57.58290069270705,61.591914087176214,51.93166679727293,51.42407828062206,52.450676262563604,73.02841768959141,42.762535477767294,55.935251798561154,55.56093428536851
2020-06-02 00:00:00-04:00,64.50839328537174,55.161906309673746,63.97637795275588,52.705161777107136,45.1568356677846,56.554114777249985,75.79774642552796,46.9366562824507,54.06030418927331,54.67656118734249
2020-06-03 00:00:00-04:00,64.26846933848385,57.16984330725825,73.69202416299784,55.93574650676641,50.40739925126625,70.40855288277972,88.38704492485749,48.13631522896701,60.729206228636485,62.62026940346374
2020-06-04 00:00:00-04:00,62.75792652239562,72.98350137488542,77.74355025028878,54.5073375262055,53.62438220757826,70.74621139459046,86.3062073295144,41.89063948100093,49.410310552608536,61.48153979374951
2020-06-05 00:00:00-04:00,58.318718578276645,70.98179555002334,77.10891089108911,59.5283620140217,53.97976908143456,72.54290171606858,88.70184525736497,42.90305302624531,50.74956129355727,60.06148990586057
2020-06-08 00:00:00-04:00,60.073937153419585,72.4966819053237,73.05047208299334,55.25035638636312,53.93741051339747,72.43539545810488,88.30820770519276,47.55872586397735,45.344275977187365,61.109050445103854
2020-06-09 00:00:00-04:00,68.71943967226107,59.0439586836416,67.93319415448848,59.85317852866145,52.07100591715974,67.04513985045695,70.42479294683419,47.41876149601472,43.189888176373955,65.7214870825457
2020-06-10 00:00:00-04:00,64.20890937019972,57.70887166236003,58.651766402307175,61.251256281407024,53.13404050144645,59.64673913043475,70.32330706128367,47.389730691368634,40.30461658406192,64.57756796353576
2020-06-11 00:00:00-04:00,41.22287968441818,54.4940857379643,47.62183521147373,33.916745506149475,41.02068144621336,52.511961722488046,49.49256536086442,45.43312794490759,23.394317483918922,46.882016939137316
2020-06-12 00:00:00-04:00,31.93238921882139,51.01928171916397,48.545427420557964,33.76469439834893,36.39726135201073,52.511961722488046,47.33637525756485,45.57122198120028,24.965964856735795,51.116589327146166
2020-06-15 00:00:00-04:00,31.241347485002272,49.36087651221181,53.11310494834149,28.042717731541188,34.81288076588339,53.998550374486584,48.89471278797662,43.099418383432074,24.064402435116957,52.44666708868775
2020-06-16 00:00:00-04:00,32.640144665461094,48.338896219824576,51.38144911192556,31.42255498362193,34.20452552183829,54.688243693479315,41.9551172472782,40.96215667475043,24.794529241900165,50.55774553384216
2020-06-17 00:00:00-04:00,32.51811594202899,51.77502494180247,56.4800747925675,41.581819431304424,41.67473378509194,54.476987447698754,40.3680549315956,40.580121473576654,23.88148386060704,49.246663796814474
2020-06-18 00:00:00-04:00,28.399807784718895,51.659062629614276,60.96824980320126,41.46213285395348,36.87794656888423,53.23590814196241,45.90035454831407,39.76774758983346,29.20867160317602,49.137187230371026
2020-06-19 00:00:00-04:00,24.403855910705254,56.0768041066454,63.25240874399976,47.144232559575734,37.390326209223836,49.26523729221874,46.427902242541705,37.542054225212716,34.221510243673045,51.25682156441211
2020-06-22 00:00:00-04:00,28.52737085582114,59.374211455967696,62.848984771573626,50.70495049159363,37.8725304163411,49.5430557343287,50.11916679304421,37.74122952450427,32.52577941265152,54.820662170447584
2020-06-23 00:00:00-04:00,30.795072788353842,62.28600723324267,64.99502127274374,53.06799970423722,27.73561811505507,54.5165683159328,52.570519423736044,35.4958200231088,35.7511986448853,46.639881581729746
2020-06-24 00:00:00-04:00,26.68730650154794,52.953936455276256,57.72168180721923,49.500432805829476,26.157649519825046,48.860862489829124,46.18702928996189,33.68268300548212,34.7980997624703,42.56107444714604
2020-06-25 00:00:00-04:00,25.147704893197965,44.89008908464037,53.82116200790282,47.688359394629785,28.095921485116417,46.12044973839476,37.68726096969796,35.085227272727266,42.339058445570245,41.700452435513284
2020-06-26 00:00:00-04:00,22.928176795580107,39.3838952209671,58.41358409335524,46.16465527511426,32.418612578830746,43.44569288389514,40.47285249750349,34.0922708208508,44.132688320663426,41.560872141988206
2020-06-29 00:00:00-04:00,22.28070175438594,42.993250835046744,55.609729817094525,45.03064656481093,28.904428904428894,47.93388429752065,38.834559528056616,32.49999999999997,40.00300398027385,40.14583145017928
