78,XLY,MHK,MOHAWK INDUSTRIES INC COMMON STOCK USD.01
79,XLY,HAS,HASBRO INC COMMON STOCK USD.5
80,XLY,BWA,BORGWARNER INC COMMON STOCK USD.01
81,XLY,NCLH,NORWEGIAN CRUISE LINE HOLDIN COMMON STOCK USD.001
82,XLY,NWL,NEWELL BRANDS INC COMMON STOCK USD1.0
83,XLY,PVH,PVH CORP COMMON STOCK USD1.0
84,XLY,HBI,HANESBRANDS INC COMMON STOCK USD.01
85,XLY,LEG,LEGGETT + PLATT INC COMMON STOCK USD.01
86,XLY,GPS,GAP INC/THE COMMON STOCK USD.05
87,XLY,RL,RALPH LAUREN CORP COMMON STOCK USD.01
88,XLY,UAA,UNDER ARMOUR INC CLASS A COMMON STOCK USD.000333
89,XLY,UA,UNDER ARMOUR INC CLASS C COMMON STOCK USD.000333
,,,
,,XLP,Consumer Staples
,,,
90,XLP,PG,PROCTER + GAMBLE CO/THE COMMON STOCK
91,XLP,KO,COCA COLA CO/THE COMMON STOCK USD.25
92,XLP,PEP,PEPSICO INC COMMON STOCK USD.017
93,XLP,WMT,WALMART INC COMMON STOCK USD.1
94,XLP,COST,COSTCO WHOLESALE CORP COMMON STOCK USD.005
95,XLP,MDLZ,MONDELEZ INTERNATIONAL INC A COMMON STOCK
96,XLP,PM,PHILIP MORRIS INTERNATIONAL COMMON STOCK
97,XLP,MO,ALTRIA GROUP INC COMMON STOCK USD.333
98,XLP,CL,COLGATE PALMOLIVE CO COMMON STOCK USD1.0
99,XLP,EL,ESTEE LAUDER COMPANIES CL A COMMON STOCK USD.01
100,XLP,KMB,KIMBERLY CLARK CORP COMMON STOCK USD1.25
101,XLP,SYY,SYSCO CORP COMMON STOCK USD1.0
102,XLP,STZ,CONSTELLATION BRANDS INC A COMMON STOCK USD.01
103,XLP,WBA,WALGREENS BOOTS ALLIANCE INC COMMON STOCK USD.01
104,XLP,GIS,GENERAL MILLS INC COMMON STOCK USD.1
105,XLP,ADM,ARCHER DANIELS MIDLAND CO COMMON STOCK
106,XLP,MNST,MONSTER BEVERAGE CORP COMMON STOCK
107,XLP,KR,KROGER CO COMMON STOCK USD1.0
108,XLP,KHC,KRAFT HEINZ CO/THE COMMON STOCK USD.01
109,XLP,HSY,HERSHEY CO/THE COMMON STOCK USD1.0
110,XLP,CLX,CLOROX COMPANY COMMON STOCK USD1.0
111,XLP,TSN,TYSON FOODS INC CL A COMMON STOCK USD.1
112,XLP,MKC,MCCORMICK + CO NON VTG SHRS COMMON STOCK
113,XLP,CHD,CHURCH + DWIGHT CO INC COMMON STOCK USD1.0
114,XLP,CAG,CONAGRA BRANDS INC COMMON STOCK USD5.0
115,XLP,K,KELLOGG CO COMMON STOCK USD.25
116,XLP,SJM,JM SMUCKER CO/THE COMMON STOCK
117,XLP,BF.B,BROWN FORMAN CORP CLASS B COMMON STOCK USD.15
118,XLP,HRL,HORMEL FOODS CORP COMMON STOCK USD.01465
119,XLP,LW,LAMB WESTON HOLDINGS INC COMMON STOCK USD1.0
120,XLP,TAP,MOLSON COORS BEVERAGE CO   B COMMON STOCK USD.01
121,XLP,CPB,CAMPBELL SOUP CO COMMON STOCK USD.0375
,,,
,,XLE,Energy
,,,
122,XLE,XOM,EXXON MOBIL CORP COMMON STOCK
123,XLE,CVX,CHEVRON CORP COMMON STOCK USD.75
124,XLE,EOG,EOG RESOURCES INC COMMON STOCK USD.01
125,XLE,SLB,SCHLUMBERGER LTD COMMON STOCK USD.01
126,XLE,MPC,MARATHON PETROLEUM CORP COMMON STOCK USD.01
127,XLE,COP,CONOCOPHILLIPS COMMON STOCK USD.01
128,XLE,PSX,PHILLIPS 66 COMMON STOCK
129,XLE,KMI,KINDER MORGAN INC COMMON STOCK USD.01
130,XLE,PXD,PIONEER NATURAL RESOURCES CO COMMON STOCK USD.01
131,XLE,VLO,VALERO ENERGY CORP COMMON STOCK USD.01
132,XLE,WMB,WILLIAMS COS INC COMMON STOCK USD1.0
133,XLE,OKE,ONEOK INC COMMON STOCK USD.01
134,XLE,OXY,OCCIDENTAL PETROLEUM CORP COMMON STOCK USD.2
135,XLE,HES,HESS CORP COMMON STOCK USD1.0
136,XLE,HAL,HALLIBURTON CO COMMON STOCK USD2.5
137,XLE,BKR,BAKER HUGHES CO COMMON STOCK USD.0001
138,XLE,FANG,DIAMONDBACK ENERGY INC COMMON STOCK USD.01
139,XLE,DVN,DEVON ENERGY CORP COMMON STOCK USD.1
140,XLE,MRO,MARATHON OIL CORP COMMON STOCK USD1.0
141,XLE,APA,APA CORP COMMON STOCK USD.625
142,XLE,COG,CABOT OIL + GAS CORP COMMON STOCK USD.1
143,XLE,NOV,NOV INC COMMON STOCK USD.01
144,XLE,HFC,HOLLYFRONTIER CORP COMMON STOCK USD.01
,,,
,,XLF,Financials
,,,
145,XLF,BRK.B,BERKSHIRE HATHAWAY INC CL B COMMON STOCK USD.0033
146,XLF,JPM,JPMORGAN CHASE + CO COMMON STOCK USD1.0
147,XLF,BAC,BANK OF AMERICA CORP COMMON STOCK USD.01
148,XLF,WFC,WELLS FARGO + CO COMMON STOCK USD1.666
149,XLF,C,CITIGROUP INC COMMON STOCK USD.01
150,XLF,MS,MORGAN STANLEY COMMON STOCK USD.01
151,XLF,GS,GOLDMAN SACHS GROUP INC COMMON STOCK USD.01
152,XLF,BLK,BLACKROCK INC COMMON STOCK USD.01
153,XLF,SCHW,SCHWAB (CHARLES) CORP COMMON STOCK USD.01
154,XLF,AXP,AMERICAN EXPRESS CO COMMON STOCK USD.2
155,XLF,SPGI,S+P GLOBAL INC COMMON STOCK USD1.0
156,XLF,PNC,PNC FINANCIAL SERVICES GROUP COMMON STOCK USD5.0
157,XLF,USB,US BANCORP COMMON STOCK USD.01
158,XLF,TFC,TRUIST FINANCIAL CORP COMMON STOCK USD5.0
159,XLF,CB,CHUBB LTD COMMON STOCK
160,XLF,CME,CME GROUP INC COMMON STOCK USD.01
161,XLF,COF,CAPITAL ONE FINANCIAL CORP COMMON STOCK USD.01
162,XLF,MMC,MARSH + MCLENNAN COS COMMON STOCK USD1.0
163,XLF,ICE,INTERCONTINENTAL EXCHANGE IN COMMON STOCK USD.01
164,XLF,PGR,PROGRESSIVE CORP COMMON STOCK USD1.0
165,XLF,AON,AON PLC CLASS A COMMON STOCK
166,XLF,MCO,MOODY S CORP COMMON STOCK USD.01
167,XLF,MET,METLIFE INC COMMON STOCK USD.01
168,XLF,AIG,AMERICAN INTERNATIONAL GROUP COMMON STOCK USD2.5
169,XLF,TROW,T ROWE PRICE GROUP INC COMMON STOCK USD.2
170,XLF,PRU,PRUDENTIAL FINANCIAL INC COMMON STOCK USD.01
171,XLF,BK,BANK OF NEW YORK MELLON CORP COMMON STOCK USD.01
172,XLF,TRV,TRAVELERS COS INC/THE COMMON STOCK NPV
173,XLF,MSCI,MSCI INC COMMON STOCK USD.01
174,XLF,ALL,ALLSTATE CORP COMMON STOCK USD.01
175,XLF,DFS,DISCOVER FINANCIAL SERVICES COMMON STOCK USD.01
176,XLF,AFL,AFLAC INC COMMON STOCK USD.1
177,XLF,WLTW,WILLIS TOWERS WATSON PLC COMMON STOCK USD.000304635
178,XLF,FRC,FIRST REPUBLIC BANK/CA COMMON STOCK USD.01
179,XLF,SIVB,SVB FINANCIAL GROUP COMMON STOCK USD.001
180,XLF,AMP,AMERIPRISE FINANCIAL INC COMMON STOCK USD.01
181,XLF,STT,STATE STREET CORP COMMON STOCK USD1.0
182,XLF,FITB,FIFTH THIRD BANCORP COMMON STOCK
183,XLF,AJG,ARTHUR J GALLAGHER + CO COMMON STOCK USD1.0
184,XLF,SYF,SYNCHRONY FINANCIAL COMMON STOCK USD.001
185,XLF,NTRS,NORTHERN TRUST CORP COMMON STOCK USD1.667
186,XLF,HIG,HARTFORD FINANCIAL SVCS GRP COMMON STOCK USD.01
187,XLF,KEY,KEYCORP COMMON STOCK USD1.0
188,XLF,RF,REGIONS FINANCIAL CORP COMMON STOCK USD.01
189,XLF,CFG,CITIZENS FINANCIAL GROUP COMMON STOCK USD.01
190,XLF,MTB,M + T BANK CORP COMMON STOCK USD.5
191,XLF,NDAQ,NASDAQ INC COMMON STOCK USD.01
192,XLF,CINF,CINCINNATI FINANCIAL CORP COMMON STOCK USD2.0
193,XLF,MKTX,MARKETAXESS HOLDINGS INC COMMON STOCK USD.003
194,XLF,RJF,RAYMOND JAMES FINANCIAL INC COMMON STOCK USD.01
195,XLF,PFG,PRINCIPAL FINANCIAL GROUP COMMON STOCK USD.01
196,XLF,HBAN,HUNTINGTON BANCSHARES INC COMMON STOCK USD.01
197,XLF,L,LOEWS CORP COMMON STOCK USD.01
198,XLF,LNC,LINCOLN NATIONAL CORP COMMON STOCK
199,XLF,CBOE,CBOE GLOBAL MARKETS INC COMMON STOCK
200,XLF,WRB,WR BERKLEY CORP COMMON STOCK USD.2
201,XLF,CMA,COMERICA INC COMMON STOCK USD5.0
202,XLF,RE,EVEREST RE GROUP LTD COMMON STOCK USD.01
203,XLF,IVZ,INVESCO LTD COMMON STOCK USD.2
204,XLF,GL,GLOBE LIFE INC COMMON STOCK USD1.0
205,XLF,ZION,ZIONS BANCORP NA COMMON STOCK USD.001
206,XLF,AIZ,ASSURANT INC COMMON STOCK USD.01
207,XLF,BEN,FRANKLIN RESOURCES INC COMMON STOCK USD.1
208,XLF,PBCT,PEOPLE S UNITED FINANCIAL COMMON STOCK USD.01
209,XLF,UNM,UNUM GROUP COMMON STOCK USD.1
,,,
,,XLV,Health Care
,,,
210,XLV,JNJ,JOHNSON + JOHNSON COMMON STOCK USD1.0
211,XLV,UNH,UNITEDHEALTH GROUP INC COMMON STOCK USD.01
212,XLV,PFE,PFIZER INC COMMON STOCK USD.05
213,XLV,ABT,ABBOTT LABORATORIES COMMON STOCK
214,XLV,ABBV,ABBVIE INC COMMON STOCK USD.01
215,XLV,MRK,MERCK + CO. INC. COMMON STOCK USD.5
216,XLV,TMO,THERMO FISHER SCIENTIFIC INC COMMON STOCK USD1.0
217,XLV,MDT,MEDTRONIC PLC COMMON STOCK USD.1
218,XLV,DHR,DANAHER CORP COMMON STOCK USD.01
