,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Avg,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Downband,BB_Upband,BB_Upband,BB_Upband,BB_Upband,BB_Upband,BB_Upband,BB_Upband,BB_Upband,BB_Upband,BB_Upband
2020-11-02 00:00:00-05:00,102.94566666666668,12.332993333333333,152.87466666666666,115.11068333333333,85.79533333333332,96.99733333333333,272.4255,107.05366666666667,224.75366666666667,485.261,109.089,13.652,160.095,123.078,90.069,100.075,292.989,111.666,236.606,519.976,109.089,13.652,160.095,123.078,90.069,100.075,292.989,111.666,236.606,519.976
2020-11-03 00:00:00-05:00,103.22666666666667,12.295993333333334,153.118,115.06318333333334,85.775,97.22433333333333,272.15250000000003,107.21033333333335,224.37533333333334,484.1676666666666,109.317,13.673,160.447,123.128,89.999,100.745,293.119,111.826,235.317,520.701,109.317,13.673,160.447,123.128,89.999,100.745,293.119,111.826,235.317,520.701
2020-11-04 00:00:00-05:00,103.61500000000001,12.26466,153.42233333333334,115.32018333333333,86.02033333333334,97.58433333333333,272.3808333333333,107.504,224.28,484.7326666666667,109.521,13.716,160.352,122.824,91.296,101.915,292.95,112.06,235.044,520.9,109.521,13.716,160.352,122.824,91.296,101.915,292.95,112.06,235.044,520.9
2020-11-05 00:00:00-05:00,104.084,12.258659999999999,153.751,115.67979999999999,86.279,97.94366666666666,272.73016666666666,107.92433333333334,224.936,485.69233333333335,109.829,13.72,160.287,122.796,92.246,102.999,292.946,112.29,235.584,521.513,109.829,13.72,160.287,122.796,92.246,102.999,292.946,112.29,235.584,521.513
2020-11-06 00:00:00-05:00,104.579,12.230826666666665,153.98066666666668,115.89330000000001,86.49966666666667,98.18366666666665,272.9191666666667,108.291,225.64933333333332,486.1953333333333,110.6,13.721,160.368,122.972,92.932,103.68,292.992,112.934,236.346,522.082,110.6,13.721,160.368,122.972,92.932,103.68,292.992,112.934,236.346,522.082
2020-11-09 00:00:00-05:00,105.015,12.245326666666667,154.08966666666666,115.93730000000001,86.76266666666668,98.47366666666667,273.12083333333334,108.454,226.225,485.59933333333333,111.412,13.765,160.546,123.009,93.932,104.724,293.34,112.874,238.113,521.904,111.412,13.765,160.546,123.009,93.932,104.724,293.34,112.874,238.113,521.904
2020-11-10 00:00:00-05:00,105.348,12.249493333333334,154.20666666666668,115.9993,87.16233333333334,98.93800000000002,273.00916666666666,108.64133333333332,226.7106666666667,484.3593333333334,111.75,13.77,160.617,123.038,95.584,106.427,293.28,112.964,239.398,522.625,111.75,13.77,160.617,123.038,95.584,106.427,293.28,112.964,239.398,522.625
2020-11-11 00:00:00-05:00,105.633,12.24116,154.31199999999998,116.1293,87.51712666666667,99.28433333333334,272.7525,108.76966666666665,227.27,483.63000000000005,111.975,13.764,160.776,123.281,96.85,107.332,293.006,113.334,241.237,522.312,111.975,13.764,160.776,123.281,96.85,107.332,293.006,113.334,241.237,522.312
2020-11-12 00:00:00-05:00,105.90833333333333,12.213326666666665,154.252,116.21046666666666,87.86512666666665,99.644,273.03616666666665,108.88000000000001,227.6963333333333,482.3986666666667,112.174,13.741,160.728,123.448,97.894,107.927,292.791,113.589,242.192,521.339,112.174,13.741,160.728,123.448,97.894,107.927,292.791,113.589,242.192,521.339
2020-11-13 00:00:00-05:00,106.24066666666666,12.186323333333332,154.186,116.42613333333333,88.29612666666665,100.07566666666666,273.3941666666667,109.07966666666668,228.31283333333332,482.1235,112.265,13.684,160.646,123.656,99.092,108.778,292.715,113.873,243.461,521.289,112.265,13.684,160.646,123.656,99.092,108.778,292.715,113.873,243.461,521.289
2020-11-16 00:00:00-05:00,106.45533333333334,12.170043333333332,154.02700000000002,116.55313333333334,88.64845999999999,100.49733333333333,273.4736666666667,109.22233333333334,229.02916666666667,481.2725,112.474,13.636,160.554,123.924,100.065,109.674,292.768,114.195,245.23,521.15,112.474,13.636,160.554,123.924,100.065,109.674,292.768,114.195,245.23,521.15
2020-11-17 00:00:00-05:00,106.731,12.176043333333332,153.83333333333334,116.7598,89.09212666666667,100.80566666666667,273.6333333333333,109.452,229.81116666666668,480.89050000000003,112.587,13.65,160.568,124.085,101.087,109.927,292.72,114.484,246.535,521.066,112.587,13.65,160.568,124.085,101.087,109.927,292.72,114.484,246.535,521.066
2020-11-18 00:00:00-05:00,106.80166666666666,12.164876666666666,153.54000000000002,116.85813333333333,89.48012666666665,101.06633333333333,273.567,109.51966666666667,230.3505,479.7675,112.565,13.616,160.484,124.167,101.949,110.016,292.742,114.509,247.257,520.405,112.565,13.616,160.484,124.167,101.949,110.016,292.742,114.509,247.257,520.405
2020-11-19 00:00:00-05:00,106.95266666666666,12.15271,153.154,116.98046666666666,89.89179333333333,101.18033333333334,273.5543333333333,109.60166666666667,230.9375,478.9468333333333,112.667,13.575,160.429,124.282,102.871,110.081,292.737,114.606,248.373,519.653,112.667,13.575,160.429,124.282,102.871,110.081,292.737,114.606,248.373,519.653
