,MACD,MACD,MACD,MACD,MACD,MACD,MACD,MACD,MACD,MACD,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal,MACD_Signal
,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE
time,,,,,,,,,,,,,,,,,,,,
2017-05-19 00:00:00-04:00,,,,,,,,,0.0,,,,,,,,,,0.0,
2017-05-22 00:00:00-04:00,,,,,,,0.0,,0.13720797720797862,,,,,,,,0.0,,0.027441595441595724,
2017-05-23 00:00:00-04:00,0.0,,0.0,,,0.0,-0.0821652421652459,,0.200066557901323,,0.0,,0.0,,,0.0,-0.016433048433049182,,0.061966587933541185,
2017-05-24 00:00:00-04:00,0.04547008547008602,0.0,-0.6094586894586769,0.0,0.0,0.059829059829070275,-0.13283983084554052,0.0,0.23187807772771407,0.0,0.009094017094017205,0.0,-0.12189173789173538,0.0,0.0,0.011965811965814055,-0.03971440491554745,0.0,0.09594888589237577,0.0
2017-05-25 00:00:00-04:00,0.08695838507804154,0.06621082621082763,-1.1589837744823228,0.04866096866098246,0.2042165242165197,0.19536659605037698,-0.09684026549993519,0.03350427350427765,0.343503877275694,0.1372079772079644,0.024666890690822077,0.013242165242165527,-0.32931014520985286,0.009732193732196493,0.040843304843303944,0.048645968782726645,-0.051139577032425,0.00670085470085553,0.14545988416903943,0.027441595441592883
2017-05-26 00:00:00-04:00,0.1344269003255505,0.17476676325679819,-1.4008170032104488,0.06070405272683388,0.3395517893523561,0.2921510862972383,0.1510436135087332,0.11999902598194012,0.409495556382808,0.16656228439703114,0.04661889261776776,0.04554708484509206,-0.543611516809972,0.01992656553112397,0.10058500174511437,0.09734699228562899,-0.010702938924193363,0.02936048895707245,0.19826701861179316,0.05526573323268053
2017-05-30 00:00:00-04:00,0.23948711141319734,0.22751267674572517,-1.6740388547414966,0.07582949975594033,0.2662155806769846,0.3630545919174608,0.44005755160944204,0.2095319628122212,0.5307198570350238,0.2291440090107244,0.08519253637685367,0.0819402032252187,-0.7696969843962769,0.031107152376087244,0.13371111753148843,0.15048851221199536,0.07944915918253373,0.0653947837281022,0.2647575862964393,0.09004138838828932
2017-05-31 00:00:00-04:00,0.3150814407677558,0.3029402422798313,-1.81238601642832,0.01502089557922659,0.2057246413367011,0.47589289869208073,0.4748114056585848,0.3291428738580251,0.6722976440755133,0.2332847447164852,0.13117031725503409,0.12614021103614123,-0.9782347908026856,0.027889901016715114,0.14811382229253098,0.21556938950801244,0.15852160847774394,0.11814440175408678,0.34626559785225414,0.1186900596539285
2017-06-01 00:00:00-04:00,0.4026259274043156,0.4096377338831374,-1.6257077412094247,-8.579881085779562e-05,0.20943430833408172,0.6673657270916635,0.7814155772850313,0.4550016460579229,0.8377811223086695,0.1939843553723506,0.1854614392848904,0.18283971560554046,-1.1077293808840334,0.022294761051200533,0.16037791950084113,0.3059286570247427,0.2831004022392014,0.185515850614854,0.4445687027435372,0.13374891879761291
2017-06-02 00:00:00-04:00,0.47300834938560854,0.525259555123526,-1.4050827934885035,0.16916207081300172,0.42613636300913527,0.8472676213979895,1.0605907479065024,0.579534853381972,0.9921880511544856,0.32930189243469954,0.24297082130503403,0.2513236835091376,-1.1672000634049273,0.051668223003560776,0.21352960820249997,0.4141964498993921,0.4385984713726616,0.2643196511682776,0.5540925724257268,0.17285951352503026
2017-06-05 00:00:00-04:00,0.49085203214148976,0.5947038930739907,-1.3925124464879275,0.1785823439278147,0.437100806267253,0.9554270243855996,1.282387924343169,0.6816673109334985,1.1768409093538565,0.4387466648632312,0.2925470634723252,0.3199997254221082,-1.2122625400215274,0.07705104718841158,0.25824384781545057,0.5224425647966336,0.6073563619667631,0.3477891831213218,0.6786422398113529,0.22603694379267047
2017-06-06 00:00:00-04:00,0.4745090253873627,0.675838871319236,-1.707421576940618,0.22540925484199192,0.46783248339238526,0.8976553084997079,1.4694667614449202,0.73237886814983,1.2873599189476295,0.4756193878215811,0.3289394558553327,0.39116755460153374,-1.3112943474053456,0.10672268871912766,0.3001615749308375,0.5974851135372485,0.7797784418623945,0.42470712012702344,0.8003857756386081,0.2759534325984526
2017-06-07 00:00:00-04:00,0.49857636738470745,0.786747029530531,-1.9921233563329963,0.3329185525115861,0.7350686123833725,0.8644990603441016,1.5897197903828157,0.7793195027990976,1.3776256966185656,0.5461536364320239,0.3628668381612076,0.47028344958733326,-1.4474601491908758,0.15196186147761936,0.38714298242134454,0.6508879028986192,0.9417667115664788,0.4956295966614383,0.9158337598345997,0.3299934733651669
2017-06-08 00:00:00-04:00,0.4718647251617156,0.910145193034765,-2.5626204956708136,0.3774581042183627,0.7561787577480175,0.8007498737795231,1.7272431630221092,0.8203776125351467,1.402333919048857,0.515419459287159,0.3846664155613092,0.5582557982768197,-1.6704922184868636,0.19706111002576804,0.4609501374866792,0.6808602970748,1.098862001857605,0.56057919983618,1.0131337916774512,0.36707867054956533
2017-06-09 00:00:00-04:00,0.3721691111675014,0.9374213018425266,-2.7881368242611586,-0.06659162711355293,0.8343000538855705,0.7823623358866882,1.6948498719216047,0.8886667000772377,1.3730046469466828,0.1209078451788912,0.3821669546825477,0.6340888989899611,-1.8940211396417226,0.14433056259790386,0.5356201207664575,0.7011607048371776,1.218059575870405,0.6261966998843915,1.0851079627312976,0.3178445054754305
2017-06-12 00:00:00-04:00,0.27306663170003276,0.8523821129956985,-2.7256423600597373,-0.6985212841158841,0.8756281342909347,0.7809537254477306,1.5460534202397582,0.9240650826235779,1.3806469021720744,-0.2541757025717857,0.3603468900860447,0.6777475417911086,-2.0603453837253256,-0.024239806744853737,0.603621723471353,0.7171193089592882,1.2836583447442755,0.6857703764322288,1.144215750619453,0.20344046386598727
2017-06-13 00:00:00-04:00,0.21544427164204905,0.7736490492211701,-2.5921707159126584,-1.0907337357944584,0.9083993866394167,0.8208318372069812,1.4633091527369686,0.9636043842467927,1.4299318952726168,-0.3983673630308715,0.3313663663972456,0.696927843277121,-2.1667104501627925,-0.2375385925547747,0.6645772561049658,0.7378618146088268,1.3195885063428143,0.7413371779951416,1.2013589795500859,0.08307889848661554
2017-06-14 00:00:00-04:00,0.17422510895683274,0.6983607622272103,-2.5330442629095273,-1.49966675365323,0.9899335656971715,0.9153137556826607,1.5150245083660252,0.9979601973789869,1.4650135064451604,-0.5730090643816652,0.29993811490916306,0.6972144270671389,-2.2399772127121396,-0.4899642247744658,0.7296485180234069,0.7733522028235936,1.3586757067474566,0.7926617818719107,1.254089884929101,-0.04813869408704061
2017-06-15 00:00:00-04:00,0.12718188908713302,0.644179218146725,-2.413181152859636,-1.871569639398416,1.0481163719025801,1.0211863270732096,1.5853425276381756,1.0517949774981687,1.4606470934727014,-0.759944766985484,0.26538686974475706,0.6866073852830561,-2.274618000741639,-0.7662853076992558,0.7933420887992415,0.8229190276735169,1.4040090709256006,0.8444884209971624,1.295401326637821,-0.1904999086667293
